Sample_ID,Raw_TDS_ppm,Raw_Turbidity_NTU,Raw_Temperature_C,Treated_TDS_ppm,Treated_Turbidity_NTU,Treated_pH,Treated_Temperature_C,Flow_Rate_L_min,TDS_Removal_Efficiency_pct,Turbidity_Removal_Efficiency_pct,Temperature_Difference_C,Previous_TDS_Efficiency_pct,Efficiency_Improvement_pp,Rolling_3Cycle_Avg_Efficiency_pct,Efficiency_Trend_pct,Previous_Turbidity_Efficiency_pct,Rolling_3Cycle_Avg_Turbidity_Efficiency_pct,Cycle_Number,Filter_Health_Score_pct,Water_Quality_Class,Filter_Health,ML_Split
JR-02216,510.68,1.23,23.77,49.69,0.16,6.98,23.86,1.719,90.27,87.04,-0.09,85.65,4.62,86.69,5.39,80.35,83.13,11,99.67,SAFE,HEALTHY,TRAIN
JR-02583,549.7,5.4,27.79,98.93,0.11,7.33,27.65,1.261,82.0,98.0,0.15,76.4,5.6,82.67,7.33,90.72,95.57,12,98.73,SAFE,HEALTHY,TEST
JR-01663,441.2,5.75,24.64,55.75,1.31,7.0,23.36,1.822,87.36,77.23,1.28,86.99,0.37,86.61,0.43,87.68,80.89,6,94.37,SAFE,HEALTHY,TRAIN
JR-03028,298.81,2.09,19.6,16.06,0.26,7.25,19.76,2.0,94.63,87.71,-0.16,98.0,-3.37,95.85,-3.44,81.53,87.26,19,100.0,SAFE,HEALTHY,TEST
JR-04344,424.17,9.61,23.27,97.9,2.59,7.74,22.89,1.48,76.92,73.07,0.37,75.64,1.28,76.98,1.69,72.58,74.8,24,84.4,WARNING,MODERATE,TRAIN
JR-02681,538.46,3.21,23.46,165.04,0.68,7.23,23.45,1.754,69.35,78.8,0.01,64.07,5.28,68.3,8.24,79.16,80.55,14,94.18,SAFE,HEALTHY,TEST
JR-01766,365.38,6.86,31.12,58.63,1.04,6.65,29.83,1.53,83.95,84.85,1.29,80.97,2.99,85.93,3.69,79.17,84.42,29,94.24,SAFE,HEALTHY,TEST
JR-01124,396.39,6.96,21.47,49.96,1.01,7.19,22.07,1.678,87.4,85.52,-0.59,92.04,-4.64,87.13,-5.05,86.43,87.77,12,97.7,SAFE,HEALTHY,TRAIN
JR-04055,459.64,11.56,28.26,161.23,1.83,7.76,28.41,1.791,64.92,84.14,-0.15,67.27,-2.34,65.23,-3.49,94.95,91.32,21,98.92,WARNING,MODERATE,TRAIN
JR-03762,458.76,10.03,23.72,110.7,1.95,7.88,22.89,1.933,75.87,80.61,0.83,74.94,0.93,75.23,1.24,75.13,76.85,10,99.11,SAFE,HEALTHY,TRAIN
JR-01536,384.04,5.39,24.71,50.69,1.24,6.91,24.55,1.837,86.8,76.99,0.15,89.8,-3.0,86.28,-3.34,73.72,76.52,5,94.5,SAFE,HEALTHY,TRAIN
JR-02945,445.95,5.06,24.94,51.23,0.61,7.08,24.34,1.687,88.51,88.01,0.59,92.13,-3.62,89.08,-3.93,90.39,86.63,7,99.75,SAFE,HEALTHY,TEST
JR-02988,358.95,4.8,25.38,40.46,1.07,7.36,24.13,1.762,88.73,77.65,1.25,86.24,2.49,89.87,2.89,84.27,80.72,7,93.49,SAFE,HEALTHY,TEST
JR-04292,396.81,10.67,24.96,109.85,2.67,7.91,24.29,1.52,72.32,75.0,0.68,73.3,-0.98,73.22,-1.34,78.34,74.1,9,86.64,WARNING,MODERATE,TEST
JR-04343,648.67,11.58,26.2,166.04,2.86,7.25,26.22,1.325,74.4,75.32,-0.02,70.39,4.02,72.66,5.71,78.14,76.31,2,83.0,WARNING,MODERATE,TRAIN
JR-04425,668.26,11.69,28.82,194.86,3.23,7.27,28.45,1.38,70.84,72.33,0.37,68.16,2.68,70.44,3.93,73.44,71.0,13,81.85,WARNING,MODERATE,TRAIN
