Feature,Importance
Flow_Rate_L_min,15.281230558025463
Treated_TDS_ppm,14.020121528167373
Treated_Turbidity_NTU,13.178778639401001
Raw_Turbidity_NTU,8.770468722192422
TDS_Removal_Efficiency_pct,8.116480926668972
Treated_pH,7.085855150282205
Raw_TDS_ppm,5.530171919350771
Turbidity_Removal_Efficiency_pct,4.832971078078976
Previous_Turbidity_Efficiency_pct,3.106286506659376
Rolling_3Cycle_Avg_Efficiency_pct,3.0294962816363933
Efficiency_Improvement_pp,2.839661600104405
Rolling_3Cycle_Avg_Turbidity_Efficiency_pct,2.6031829073234745
Temperature_Difference_C,2.126973374215317
Efficiency_Trend_pct,2.0742091407263596
Previous_TDS_Efficiency_pct,1.9119646598458941
Raw_Temperature_C,1.8701560222730729
Cycle_Number,1.8566730297478184
Treated_Temperature_C,1.7653179553007177
